Dates,GSUSFCI Index,CESIUSD Index,value_MORTGAGE30US,value_CCLACBW027SBOG,value_WTISPLC,value_EXPINF1YR,value_STLPPM,value_ECIWAG,value_M2REAL,value_UNRATE,value_PPIACO,value_PCUOMFGOMFG,value_PCUATRANSATRANS,value_PCUATRADEATRADE,value_PCUAWHLTRAWHLTR,value_CSUSHPINSA,value_SPCS20RSA,value_WALCL,value_SP500,value_MEHOINUSA672N,value_T5YIFR,value_FYFSD,value_REAINTRATREARAT10Y,value_SAHMREALTIME,value_POPTHM,Monthly Nominal GDP Index,Monthly Real GDP Index,Advance Estimate From BEA,Business Fixed Investment,Change in inventory investment ($Bil 2009),Change in net exports ($Bil 2009),Current change in private inventories ($Bil 2009),Data releases,Days until advance estimate,Equipment,Exports,Federal Govt,Final Sales,Final Sales to Domestic Purchasers,Final Sales to Private Domestic Purchasers,Final_GDP_Interp,Fixed Investment,Forecast Error,GDP Nowcast,GPDI,Goods exports,Goods imports,Government,Imports,Intellectual Property Products,"Net Exports (current, $Bil 2009)","Net Exports (previous, $Bil 2009)",PCE,PCE Goods,PCE Services,Previous change in private inventories ($Bil 2009),Publication Date of Advance Estimate,Quarter being forecasted,Residential,S&L,Services exports,Services imports,Structures
2014-05-15,99.01,-7.4,4.2,610.4631,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4336649.0,1870.85,68410.0,2.42,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,4.8,-13.0,5.0,56.0,"Consumer Price Index, Industrial production",76.0,7.7,5.3,-0.4,3.6,,,0.7073333333333334,4.2,0.7,3.2,1.7,6.7,3.8,0.6,3.6,3.3,-410.0,-414.0,4.0,4.8,3.6,70.0,30/07/2014,30/06/2014,2.1,1.3,2.3,2.7,1.0
2014-05-16,98.99,-2.3,4.2,610.4631,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4336649.0,1877.86,68410.0,2.42,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,4.8,-13.0,4.0,56.0,Housing starts,75.0,7.8,5.4,-0.4,3.6,,,0.7500000000000001,4.2,0.7,3.2,1.7,6.8,3.9,0.6,3.7,3.3,-410.0,-414.0,4.0,4.8,3.6,70.0,30/07/2014,30/06/2014,1.8,1.3,2.3,2.8,1.1
2014-05-19,98.98,3.0,4.2,610.4631,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4336649.0,1885.08,68410.0,2.41,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,0.8780000000000001,,,,,,,,,,,,,,,,,,,,,,
2014-05-20,99.02,3.3,4.2,610.4631,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4336649.0,1872.83,68410.0,2.42,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,0.9206666666666669,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,99.01,3.2,4.2,610.1369,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4327560.0,1888.03,68410.0,2.41,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,0.9633333333333334,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,99.01,-0.3,4.14,610.1369,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4327560.0,1892.49,68410.0,2.45,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,4.8,-13.0,4.0,56.0,Existing-home sales,69.0,7.8,5.4,-0.4,3.6,,,1.0060000000000002,4.2,0.7,3.2,1.7,6.8,3.9,0.6,3.7,3.3,-410.0,-414.0,4.0,4.8,3.6,70.0,30/07/2014,30/06/2014,2.0,1.3,2.3,2.8,1.1
2014-05-23,98.98,1.4,4.14,610.1369,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4327560.0,1900.53,68410.0,2.47,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,4.8,-13.0,4.0,56.0,New-home sales/Construction Prices,68.0,7.8,5.4,-0.4,3.6,,,1.0486666666666669,3.8,0.8,3.2,1.3,6.7,3.8,0.6,3.7,3.3,-410.0,-414.0,4.0,4.8,3.6,70.0,30/07/2014,30/06/2014,0.0,1.3,2.3,2.8,1.0
2014-05-26,98.98,1.4,4.14,610.1369,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4327560.0,1900.53,68410.0,2.47,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,1.176666666666667,,,,,,,,,,,,,,,,,,,,,,
2014-05-27,98.94,2.0,4.14,610.1369,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4327560.0,1911.91,68410.0,2.47,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,5.1,-16.0,5.0,52.0,Advance durable manufacturing,64.0,8.4,5.3,-0.4,3.6,,,1.2193333333333336,4.0,0.8,3.1,1.1,6.7,3.8,0.6,3.7,3.3,-410.0,-414.0,4.0,4.8,3.6,68.0,30/07/2014,30/06/2014,0.0,1.3,2.3,2.8,1.0
2014-05-28,98.91,1.9,4.14,610.0636,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4322654.0,1909.78,68410.0,2.5,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,1.2620000000000002,,,,,,,,,,,,,,,,,,,,,,
2014-05-29,98.89,-2.9,4.12,610.0636,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4322654.0,1920.03,68410.0,2.5,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,1.3046666666666669,,,,,,,,,,,,,,,,,,,,,,
2014-05-30,98.89,-4.8,4.12,610.0636,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4322654.0,1923.57,68410.0,2.51,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,5.7,-6.0,1.0,45.0,"Real GDP, Personal income",61.0,9.3,5.7,-0.2,2.9,,,1.3473333333333335,4.6,1.2,2.7,3.4,7.2,4.9,0.6,4.6,4.3,-418.0,-419.0,3.0,4.8,2.1,50.0,30/07/2014,30/06/2014,0.1,1.2,2.5,3.4,0.8
2014-06-02,98.94,-3.2,4.12,610.0636,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4322654.0,1924.97,68410.0,2.51,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,6.5,-6.0,0.0,45.0," ISM Manufacturing Index, Construction spending",58.0,10.7,6.2,-0.2,3.3,,,1.4753333333333336,6.4,0.8,3.2,5.2,7.8,5.4,0.7,5.1,4.3,-419.0,-419.0,3.2,5.4,2.1,50.0,30/07/2014,30/06/2014,5.7,1.3,2.7,3.8,1.6
2014-06-03,98.96,-2.1,4.12,610.0636,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4322654.0,1924.24,68410.0,2.46,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,6.6,-7.0,0.0,46.0,M3 Manufacturing,57.0,10.8,6.2,-0.2,3.3,,,1.5180000000000002,6.4,0.8,3.1,5.0,7.8,5.4,0.7,5.1,4.3,-419.0,-419.0,3.2,5.4,2.1,53.0,30/07/2014,30/06/2014,5.7,1.3,2.7,3.7,1.6
2014-06-04,98.97,-13.7,4.12,610.4922,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4330917.0,1927.88,68410.0,2.44,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.1,-7.0,-20.0,46.0,International trade,56.0,11.9,6.9,-0.2,2.8,,,1.5606666666666669,6.8,1.3,2.6,5.3,8.4,10.2,0.7,9.2,4.3,-439.0,-419.0,3.2,5.4,2.1,53.0,30/07/2014,30/06/2014,5.6,1.3,3.7,4.3,1.7
2014-06-05,98.91,-14.1,4.14,610.4922,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4330917.0,1940.46,68410.0,2.44,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,1.6033333333333335,,,,,,,,,,,,,,,,,,,,,,
2014-06-06,98.89,-12.9,4.14,610.4922,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4330917.0,1949.44,68410.0,2.47,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.3,-6.0,-20.0,47.0,Employment situation,54.0,12.5,6.4,-0.2,2.9,,,1.6460000000000004,6.8,1.3,2.7,5.5,7.7,9.6,0.7,8.6,4.5,-438.0,-419.0,3.3,5.7,2.1,53.0,30/07/2014,30/06/2014,4.8,1.2,3.4,3.8,1.3
2014-06-09,98.89,-13.2,4.14,610.4922,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4330917.0,1951.27,68410.0,2.47,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,1.7740000000000002,,,,,,,,,,,,,,,,,,,,,,
2014-06-10,98.9,-13.2,4.14,610.4922,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4330917.0,1950.79,68410.0,2.48,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.3,3.0,-20.0,55.0,Wholesale trade,50.0,12.5,6.4,-0.2,2.9,,,1.8166666666666669,6.8,1.0,2.9,7.1,7.7,9.6,0.7,8.6,4.5,-438.0,-419.0,3.3,5.7,2.1,52.0,30/07/2014,30/06/2014,4.8,1.2,3.4,3.8,1.3
2014-06-11,98.92,-13.0,4.14,611.7297,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4340904.0,1943.89,68410.0,2.5,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.3,3.0,-20.0,55.0,Monthly Treasury Statement,49.0,12.5,6.4,0.0,2.9,,,1.8593333333333335,6.8,1.0,2.9,7.1,7.7,9.6,0.7,8.6,4.5,-438.0,-419.0,3.3,5.7,2.1,52.0,30/07/2014,30/06/2014,4.8,1.2,3.4,3.8,1.3
2014-06-12,98.92,-17.6,4.2,611.7297,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4340904.0,1930.11,68410.0,2.43,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.3,1.0,-20.0,54.0,Retail trade,48.0,12.5,6.5,0.0,2.9,,,1.9020000000000004,7.1,1.1,2.9,7.2,7.9,9.7,0.7,8.7,4.5,-439.0,-419.0,3.2,5.4,2.0,52.0,30/07/2014,30/06/2014,6.3,1.2,3.5,4.2,1.2
2014-06-13,98.92,-19.5,4.2,611.7297,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4340904.0,1936.16,68410.0,2.45,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,1.944666666666667,,,,,,,,,,,,,,,,,,,,,,
2014-06-16,98.92,-15.4,4.2,611.7297,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4340904.0,1937.78,68410.0,2.48,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.5,3.0,-20.0,55.0,Industrial production,44.0,12.8,6.6,0.0,2.9,,,2.072666666666667,7.2,1.0,3.0,7.6,8.0,9.8,0.7,8.8,4.5,-439.0,-419.0,3.2,5.4,2.1,52.0,30/07/2014,30/06/2014,6.0,1.2,3.5,4.2,1.5
2014-06-17,98.94,-11.6,4.2,611.7297,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4340904.0,1941.99,68410.0,2.49,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.5,3.0,-20.0,55.0,"Consumer Price Index, Housing starts",43.0,12.8,6.5,-0.1,2.7,,,2.115333333333333,6.7,1.1,2.8,7.1,7.9,9.7,0.7,8.8,4.5,-439.0,-419.0,3.1,5.1,2.1,52.0,30/07/2014,30/06/2014,3.7,1.2,3.4,4.2,1.5
2014-06-18,98.88,-11.5,4.2,611.3899,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368168.0,1956.98,68410.0,2.48,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,2.158,,,,,,,,,,,,,,,,,,,,,,
2014-06-19,98.87,-10.2,4.17,611.3899,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368168.0,1959.48,68410.0,2.48,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,2.2006666666666668,,,,,,,,,,,,,,,,,,,,,,
2014-06-20,98.86,-10.2,4.17,611.3899,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368168.0,1962.87,68410.0,2.54,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,2.2433333333333336,,,,,,,,,,,,,,,,,,,,,,
2014-06-23,98.85,-9.0,4.17,611.3899,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368168.0,1962.61,68410.0,2.53,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.5,3.0,-20.0,55.0,Existing-home sales,37.0,12.8,6.5,-0.1,2.9,,,2.3713333333333333,7.5,1.0,2.9,7.9,8.0,9.8,0.7,8.8,4.5,-439.0,-419.0,3.1,5.2,2.1,52.0,30/07/2014,30/06/2014,7.6,1.2,3.5,4.2,1.5
2014-06-24,98.87,-2.6,4.17,611.3899,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368168.0,1949.98,68410.0,2.51,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.5,3.0,-20.0,55.0,New-home sales/Construction prices,36.0,12.8,6.5,-0.1,2.9,,,2.414,8.0,0.9,3.0,8.4,8.0,9.8,0.7,8.8,4.5,-439.0,-419.0,3.1,5.2,2.1,52.0,30/07/2014,30/06/2014,10.0,1.2,3.5,4.2,1.4
2014-06-25,98.83,-20.3,4.17,610.9064,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368348.0,1959.53,68410.0,2.53,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,2.456666666666667,,,,,,,,,,,,,,,,,,,,,,
2014-06-26,98.82,-23.1,4.14,610.9064,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368348.0,1957.22,68410.0,2.52,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,4.0,7.1,12.0,-19.0,61.0,"GDP, Pers. inc., Advance dur. goods",34.0,12.0,6.2,0.0,1.9,,,2.4993333333333334,7.7,1.8,2.2,9.7,7.4,9.2,0.7,8.3,4.4,-460.0,-441.0,1.6,4.2,0.3,49.0,30/07/2014,30/06/2014,10.0,1.2,3.6,4.1,1.3
2014-06-27,98.81,-23.7,4.14,610.9064,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368348.0,1960.96,68410.0,2.51,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,2.5420000000000003,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,98.8,-22.0,4.14,610.9064,102.18,1.76839,0.22734721,121.1,4778.4,6.3,208.0,197.2,125.5,124.6,129.2,164.683,170.22918462784,4368348.0,1960.23,68410.0,2.52,-484793.0,0.62685415,-0.13,319225.0,17544.726,18202.057,,,,,,,,,,,,,,2.6700000000000004,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,98.79,-22.6,4.14,610.9064,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4368348.0,1973.32,68410.0,2.52,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,4.0,7.6,11.0,-20.0,60.0,"ISM Manufacturing Index, Construction spending",29.0,12.7,6.6,-0.2,2.2,,,2.712666666666667,7.9,1.5,2.5,9.9,7.9,9.7,1.5,8.8,4.4,-461.0,-441.0,1.8,4.6,0.3,49.0,30/07/2014,30/06/2014,9.2,2.7,3.9,4.6,1.9
2014-07-02,98.82,-18.6,4.14,611.4614,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4377031.0,1974.62,68410.0,2.51,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,4.0,7.7,10.0,-20.0,59.0,M3 Manufacturing,28.0,13.1,6.6,-0.2,2.2,,,2.7553333333333336,8.0,1.5,2.4,9.6,7.9,9.7,1.5,8.8,4.4,-461.0,-441.0,1.8,4.6,0.3,49.0,30/07/2014,30/06/2014,9.2,2.7,3.8,4.6,1.9
2014-07-03,98.8,-9.4,4.12,611.4614,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4377031.0,1985.44,68410.0,2.53,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,4.0,8.4,9.0,-15.0,58.0,"Employment situation, International trade",27.0,14.6,6.8,-0.1,2.4,,,2.798,8.5,1.3,2.6,10.0,8.2,9.3,1.7,8.2,4.5,-456.0,-441.0,1.7,4.5,0.3,49.0,30/07/2014,30/06/2014,8.9,2.9,3.9,2.9,1.7
2014-07-04,98.8,-9.7,4.12,611.4614,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4377031.0,1985.44,68410.0,2.53,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,,,,,,,,,,,,,,2.840666666666667,,,,,,,,,,,,,,,,,,,,,,
2014-07-07,98.82,-11.2,4.12,611.4614,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4377031.0,1977.65,68410.0,2.53,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,,,,,,,,,,,,,,2.968666666666667,,,,,,,,,,,,,,,,,,,,,,
2014-07-08,98.83,-13.6,4.12,611.4614,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4377031.0,1963.71,68410.0,2.55,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,,,,,,,,,,,,,,3.0113333333333334,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,98.79,-14.0,4.12,612.6122,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4383401.0,1972.83,68410.0,2.6,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,,,,,,,,,,,,,,3.0540000000000003,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,98.82,-12.6,4.15,612.6122,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4383401.0,1964.68,68410.0,2.56,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,4.0,8.4,8.0,-15.0,57.0,Wholesale trade,20.0,14.6,6.8,-0.1,2.4,,,3.096666666666667,8.5,1.4,2.6,9.8,8.2,9.3,1.7,8.2,4.5,-456.0,-441.0,1.7,4.5,0.3,49.0,30/07/2014,30/06/2014,8.9,2.9,3.9,2.9,1.7
2014-07-11,98.81,-13.1,4.15,612.6122,103.59,1.8594911,0.09444467,121.1,4812.6,6.2,208.0,197.4,126.3,124.5,128.6,167.136,170.639910664584,4383401.0,1967.57,68410.0,2.57,-484793.0,0.59099495,-0.03,319670.0,17747.887,18362.23,4.0,8.4,8.0,-15.0,57.0,Monthly Treasury Statement,19.0,14.6,6.8,-1.5,2.3,,,3.139333333333333,8.5,1.5,2.5,9.8,8.2,9.3,1.1,8.2,4.5,-456.0,-441.0,1.7,4.5,0.3,49.0,30/07/2014,30/06/2014,8.9,2.9,3.9,2.9,1.7
